Category: All categories

Day,AMD: (Worldwide)
2023-01-01,79
2023-01-02,82
2023-01-03,88
2023-01-04,85
2023-01-05,92
2023-01-06,88
2023-01-07,80
2023-01-08,76
2023-01-09,86
2023-01-10,82
2023-01-11,85
2023-01-12,83
2023-01-13,80
2023-01-14,81
2023-01-15,77
2023-01-16,77
2023-01-17,80
2023-01-18,81
2023-01-19,76
2023-01-20,79
2023-01-21,82
2023-01-22,73
2023-01-23,84
2023-01-24,83
2023-01-25,82
2023-01-26,80
2023-01-27,84
2023-01-28,80
2023-01-29,79
2023-01-30,81
2023-01-31,96
2023-02-01,99
2023-02-02,91
2023-02-03,86
2023-02-04,82
2023-02-05,78
2023-02-06,77
2023-02-07,81
2023-02-08,83
2023-02-09,83
2023-02-10,80
2023-02-11,78
2023-02-12,79
2023-02-13,77
2023-02-14,75
2023-02-15,87
2023-02-16,78
2023-02-17,78
2023-02-18,80
2023-02-19,74
2023-02-20,78
2023-02-21,79
2023-02-22,77
2023-02-23,79
2023-02-24,83
2023-02-25,82
2023-02-26,81
2023-02-27,82
2023-02-28,80
2023-03-01,77
2023-03-02,81
2023-03-03,77
2023-03-04,76
2023-03-05,76
2023-03-06,75
2023-03-07,79
2023-03-08,80
2023-03-09,78
2023-03-10,79
2023-03-11,78
2023-03-12,78
2023-03-13,78
2023-03-14,77
2023-03-15,80
2023-03-16,83
2023-03-17,85
2023-03-18,80
2023-03-19,81
2023-03-20,82
2023-03-21,80
2023-03-22,80
2023-03-23,83
2023-03-24,79
2023-03-25,80
2023-03-26,74
2023-03-27,76
2023-03-28,77
2023-03-29,78
2023-03-30,82
2023-03-31,77
2023-04-01,67
2023-04-02,71
2023-04-03,75
2023-04-04,77
2023-04-05,74
2023-04-06,83
2023-04-07,82
2023-04-08,71
2023-04-09,70
2023-04-10,76
2023-04-11,73
2023-04-12,76
2023-04-13,78
2023-04-14,75
2023-04-15,73
2023-04-16,68
2023-04-17,72
2023-04-18,67
2023-04-19,73
2023-04-20,73
2023-04-21,75
2023-04-22,71
2023-04-23,69
2023-04-24,71
2023-04-25,75
2023-04-26,75
2023-04-27,73
2023-04-28,75
2023-04-29,73
2023-04-30,71
2023-05-01,83
2023-05-02,82
2023-05-03,82
2023-05-04,81
2023-05-05,81
2023-05-06,74
2023-05-07,69
2023-05-08,75
2023-05-09,75
2023-05-10,79
2023-05-11,75
2023-05-12,75
2023-05-13,66
2023-05-14,74
2023-05-15,76
2023-05-16,83
2023-05-17,76
2023-05-18,74
2023-05-19,75
2023-05-20,71
2023-05-21,73
2023-05-22,72
2023-05-23,80
2023-05-24,84
2023-05-25,100
2023-05-26,88
2023-05-27,78
2023-05-28,74
2023-05-29,77
2023-05-30,88
2023-05-31,83
2023-06-01,82
2023-06-02,82
2023-06-03,74
2023-06-04,73
2023-06-05,77
2023-06-06,83
2023-06-07,81
2023-06-08,76
2023-06-09,81
2023-06-10,72
2023-06-11,74
2023-06-12,85
2023-06-13,92
2023-06-14,94
2023-06-15,95
2023-06-16,90
2023-06-17,73
2023-06-18,72
2023-06-19,74
2023-06-20,80
2023-06-21,81
2023-06-22,83
2023-06-23,79
2023-06-24,70
2023-06-25,71
2023-06-26,79
2023-06-27,84
2023-06-28,84
2023-06-29,85
2023-06-30,79
