Category: All categories

Day,AMD: (Worldwide)
2024-01-01,63
2024-01-02,71
2024-01-03,71
2024-01-04,69
2024-01-05,72
2024-01-06,69
2024-01-07,65
2024-01-08,71
2024-01-09,77
2024-01-10,75
2024-01-11,68
2024-01-12,67
2024-01-13,67
2024-01-14,64
2024-01-15,60
2024-01-16,74
2024-01-17,77
2024-01-18,76
2024-01-19,77
2024-01-20,69
2024-01-21,65
2024-01-22,83
2024-01-23,74
2024-01-24,83
2024-01-25,87
2024-01-26,89
2024-01-27,75
2024-01-28,71
2024-01-29,84
2024-01-30,100
2024-01-31,98
2024-02-01,80
2024-02-02,82
2024-02-03,72
2024-02-04,72
2024-02-05,74
2024-02-06,75
2024-02-07,76
2024-02-08,77
2024-02-09,75
2024-02-10,68
2024-02-11,70
2024-02-12,73
2024-02-13,73
2024-02-14,72
2024-02-15,70
2024-02-16,76
2024-02-17,70
2024-02-18,69
2024-02-19,68
2024-02-20,77
2024-02-21,78
2024-02-22,88
2024-02-23,83
2024-02-24,72
2024-02-25,71
2024-02-26,76
2024-02-27,72
2024-02-28,72
2024-02-29,74
2024-03-01,86
2024-03-02,71
2024-03-03,71
2024-03-04,80
2024-03-05,81
2024-03-06,80
2024-03-07,78
2024-03-08,81
2024-03-09,69
2024-03-10,64
2024-03-11,74
2024-03-12,76
2024-03-13,73
2024-03-14,74
2024-03-15,74
2024-03-16,67
2024-03-17,64
2024-03-18,75
2024-03-19,77
2024-03-20,83
2024-03-21,77
2024-03-22,76
2024-03-23,70
2024-03-24,74
2024-03-25,78
2024-03-26,73
2024-03-27,71
2024-03-28,69
